CountryID,Country,Currency,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
784,United Arab Emirates,UAE Dirham,Changes in inventories,"148,531,757","182,932,503","75,923,657","1,363,018,275","1,310,781,582","228,402,527","920,177,250","4,377,667,717","-3,148,037,200","-844,823,013","2,302,720,890","2,585,552,273","1,431,244,142","1,526,196,524","1,036,442,162","1,285,741,743","1,308,461,760","1,510,126,310","1,898,897,610","2,415,119,240","2,569,039,422","2,912,864,368","3,334,940,553","3,587,220,030","3,833,828,455","4,065,930,502","4,459,675,046","4,559,147,352","4,807,828,116","5,180,849,263","5,553,870,410","5,785,972,457","5,947,614,954","6,113,402,131","7,029,376,281","11,862,072,473","13,807,999,457","15,407,845,709","31,572,095,411","25,340,569,917","25,122,974,248","22,223,688,454","14,751,363,218","14,962,886,346","38,338,000,000","29,739,250,214","20,544,952,994","25,597,000,000"
784,United Arab Emirates,UAE Dirham,Exports of goods and services,"2,839,280,502","3,781,501,474","5,458,844,458","9,427,369,441","29,420,824,277","29,488,747,685","36,515,823,763","41,731,941,926","40,154,720,444","57,136,571,246","85,495,592,841","83,567,766,710","71,495,379,863","60,221,093,055","59,687,694,530","57,607,040,732","37,858,309,939","48,507,301,845","46,826,197,504","59,785,584,147","81,059,594,993","84,105,160,730","88,600,092,123","100,908,519,617","104,404,774,959","112,300,882,163","147,033,391,513","160,354,186,540","136,127,022,967","146,689,361,645","197,908,362,545","186,516,000,000","199,647,000,000","255,380,000,000","345,100,000,000","448,305,000,000","559,813,000,000","685,620,000,000","913,748,000,000","741,694,000,000","827,322,000,000","1,156,229,000,000","1,380,118,000,000","1,441,718,000,000","1,467,419,000,000","1,326,700,000,000","1,324,400,000,000","1,410,400,000,000"
784,United Arab Emirates,UAE Dirham,Imports of goods and services,"1,024,966,437","1,380,040,540","2,387,440,402","3,588,343,034","7,640,192,348","11,105,955,209","14,175,247,823","21,351,933,892","22,863,117,588","28,458,710,956","36,270,324,015","39,057,107,636","38,451,868,032","35,111,558,316","31,120,041,432","29,744,845,115","30,097,263,113","32,336,266,586","37,224,150,986","42,817,829,039","48,447,898,081","56,884,861,553","69,813,239,179","79,805,710,927","86,440,798,213","90,538,133,735","114,188,773,468","127,061,281,608","122,710,719,415","120,584,346,719","132,220,889,302","137,671,204,871","156,631,626,828","188,789,465,199","256,751,925,494","307,280,068,317","369,703,268,526","543,877,965,600","719,284,599,823","612,644,483,282","676,551,000,000","798,661,000,000","891,728,000,000","929,941,000,000","1,020,600,000,000","977,900,000,000","993,200,000,000","1,017,600,000,000"
784,United Arab Emirates,UAE Dirham,Gross Domestic Product (GDP),"5,082,217,130","6,942,937,669","9,656,212,548","17,054,817,573","46,593,845,446","59,075,061,572","76,943,769,255","98,350,247,268","93,243,644,799","120,703,658,042","163,750,244,768","183,469,894,925","173,388,661,797","159,184,628,946","155,482,606,353","151,003,844,683","126,235,245,633","135,314,130,555","134,908,061,620","154,207,127,904","188,557,087,863","191,720,759,700","201,714,127,908","206,868,926,017","220,554,161,454","244,498,751,694","273,609,438,037","293,199,763,426","281,546,055,587","314,178,560,486","388,186,857,043","384,370,255,991","408,570,430,670","462,629,779,347","549,979,116,425","671,985,633,814","826,382,588,478","959,575,219,983","1,173,721,269,211","943,321,130,566","1,064,244,419,899","1,287,821,099,445","1,375,684,190,342","1,432,669,898,354","1,480,521,394,672","1,315,250,583,384","1,311,248,335,478","1,405,006,834,107"
784,United Arab Emirates,UAE Dirham,"Agriculture, hunting, forestry, fishing (ISIC A-B)","24,632,108","33,667,324","45,976,972","83,612,828","228,238,364","284,861,758","374,043,402","425,128,034","522,968,090","588,772,022","716,050,680","897,011,493","990,522,344","1,037,277,769","1,168,019,791","1,246,811,341","1,333,395,462","1,379,285,047","1,440,759,772","1,640,769,092","1,780,169,526","2,219,151,020","2,480,635,065","2,732,594,857","3,600,167,749","3,897,151,283","4,374,229,790","5,240,070,999","5,476,445,649","6,537,966,972","7,833,265,421","7,673,084,797","8,029,186,283","7,953,670,769","8,169,261,773","8,363,285,620","8,065,269,386","8,358,892,694","8,660,367,879","8,723,388,720","8,124,652,493","8,653,154,162","8,789,073,476","9,223,067,605","9,468,235,060","9,746,347,994","10,175,822,023","10,721,073,476"
784,United Arab Emirates,UAE Dirham,"Mining, Manufacturing, Utilities (ISIC C-E)","2,688,240,524","3,731,644,949","5,105,655,010","8,879,326,986","24,378,595,774","33,840,670,624","41,698,372,664","47,708,788,332","44,765,535,891","64,711,275,621","95,621,154,573","100,087,082,959","84,971,383,292","72,721,971,177","73,990,489,784","71,025,543,565","45,101,162,178","54,065,428,944","50,717,939,378","62,943,985,916","88,197,185,026","84,407,196,629","84,988,175,093","77,660,162,701","78,657,050,669","85,911,427,974","99,757,180,329","105,136,130,276","83,810,624,575","103,029,397,913","160,098,872,917","146,312,916,398","147,936,193,245","173,679,268,413","223,971,427,406","302,254,629,426","389,501,192,738","413,545,146,344","536,447,655,494","353,575,935,191","442,317,530,130","631,788,594,466","677,790,635,843","672,610,094,439","659,123,378,923","449,821,889,555","419,674,759,471","489,788,784,141"
784,United Arab Emirates,UAE Dirham,Manufacturing (ISIC D),"83,357,319","100,847,303","155,986,442","315,959,708","929,586,789","475,882,840","764,765,648","2,389,731,442","2,833,372,897","3,267,986,764","5,404,945,749","10,416,546,603","12,169,188,280","12,360,057,279","12,588,326,283","11,935,760,654","9,249,408,473","10,511,981,102","10,559,698,351","11,150,360,521","12,510,946,959","12,599,933,181","13,543,960,929","14,366,761,069","18,496,237,634","21,079,417,385","23,118,362,560","29,469,915,366","30,934,963,892","34,226,164,453","44,831,000,742","45,308,173,238","47,255,811,581","50,227,097,255","56,058,084,413","63,113,854,153","70,656,647,592","76,679,604,766","89,372,500,547","76,798,763,879","84,802,982,062","99,402,485,326","105,690,379,591","108,085,317,374","115,140,934,913","116,380,117,532","117,807,944,907","123,421,903,104"
784,United Arab Emirates,UAE Dirham,Construction (ISIC F),"805,481,308","1,081,465,588","1,529,092,337","2,751,835,086","7,459,402,930","8,564,610,891","11,852,880,717","16,846,915,666","16,443,337,205","18,564,609,215","19,550,692,549","20,825,046,212","20,214,708,342","20,914,509,418","19,602,382,401","17,658,048,731","17,783,297,219","16,699,798,394","17,594,430,451","19,025,841,742","19,258,446,077","20,606,358,376","22,037,769,667","24,254,469,097","24,673,952,128","27,065,601,826","28,809,140,301","31,037,768,159","32,588,463,724","33,043,732,037","33,512,916,849","34,683,890,808","36,073,845,024","42,136,995,414","46,845,471,461","55,349,761,738","69,204,988,503","90,523,432,754","116,834,055,669","115,311,793,600","116,939,235,643","115,806,102,389","112,728,198,324","115,646,467,303","122,267,783,320","127,692,505,825","123,820,077,502","122,749,037,788"
784,United Arab Emirates,UAE Dirham,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)","747,407,186","1,009,602,579","1,434,676,746","2,552,887,936","6,953,522,470","8,412,412,852","10,554,366,494","16,166,958,442","14,475,669,775","17,741,695,824","23,553,719,974","28,099,220,145","28,264,981,974","25,125,867,326","23,709,121,689","22,572,099,139","24,307,418,293","24,929,025,154","26,457,142,020","27,726,256,028","32,553,591,104","34,721,028,359","38,661,330,288","41,961,962,382","46,121,182,507","48,874,876,618","55,970,217,745","62,120,494,872","65,623,708,098","68,372,902,697","70,943,172,191","73,227,878,251","79,419,553,214","85,451,097,628","90,772,253,942","98,193,105,632","116,819,998,475","142,455,389,429","160,335,801,687","136,125,981,095","145,695,375,240","152,116,517,555","161,553,497,123","179,244,064,767","187,742,158,443","193,370,682,888","202,089,560,990","204,644,208,695"
784,United Arab Emirates,UAE Dirham,"Transport, storage and communication (ISIC I)","193,143,381","265,313,666","373,925,380","683,589,826","1,891,848,474","1,913,834,611","3,020,961,246","4,059,464,330","4,370,557,764","5,215,389,935","5,689,654,926","7,548,590,696","8,333,949,122","7,289,346,167","6,740,357,753","6,441,464,060","6,987,402,539","7,237,497,261","7,670,588,121","8,622,168,039","9,471,575,113","10,234,059,022","11,075,841,257","12,082,320,017","13,059,824,388","16,068,585,891","17,055,240,069","18,256,914,709","20,353,745,458","23,251,184,311","26,301,119,945","30,316,360,208","35,482,113,435","39,105,309,205","48,032,691,746","54,097,623,877","64,246,570,449","78,859,592,657","92,049,920,467","91,742,604,884","92,777,722,580","103,292,458,273","107,761,462,559","112,473,228,898","120,441,890,245","127,911,464,801","120,595,448,322","123,808,346,556"
